state,city,zip,area_codes,latitude,longitude
NY,Lockport,14094,"716,585",43.16,-78.69
FL,Clermont,34711,"352,407,863",28.55,-81.75
FL,Lake Worth,33467,561,26.61,-80.05
NY,Brooklyn,11233,718,40.64,-73.94
CA,Los Angeles,90004,"213,818,323,310",34.07,-118.31
CA,Granada Hills,91344,818,34.29,-118.5
CA,Murrieta,92563,"909,951",33.57,-117.14
AL,Birmingham,35242,205,33.52,-86.79
CA,Roseville,95747,916,38.78,-121.37
MD,Fort Washington,20744,"301,240",38.73,-77
CO,Broomfield,80020,"303,720",39.94,-105.06
NY,Newburgh,12550,"845,914",41.5,-74.02
GA,Newnan,30263,"770,678",33.37,-84.78
CA,Diamond Bar,91765,"909,310,949",33.99,-117.81
DE,Newark,19702,302,39.67,-75.75
PA,West Chester,19382,"610,484",39.95,-75.6
IL,Aurora,60506,630,41.76,-88.29
OR,Oregon City,97045,503,45.32,-122.52
HI,Honolulu,96816,808,21.3,-157.85
CA,Alhambra,91801,"626,213,323",34.09,-118.13
AZ,Tucson,85710,520,32.22,-110.82
OH,Chillicothe,45601,740,39.33,-82.98
CA,North Hills,91343,818,34.23,-118.47
MO,O Fallon,63366,"636,314",38.78,-90.7
VA,Stafford,22554,"540,703,202",38.42,-77.4
FL,Brandon,33511,813,27.92,-82.29
CA,National City,91950,"619,858",32.67,-117.09
CA,Cypress,90630,"562,714",33.81,-118.03
NC,Charlotte,28215,704,35.19,-80.83
NJ,Monroe Township,8831,"609,732",40.34,-74.44
TX,San Antonio,78247,"210,972",29.45,-98.5
VA,Hampton,23666,757,37.04,-76.29
FL,Miami,33176,"305,786",25.77,-80.2
TX,Plano,75093,"972,469,817,214",33.04,-96.74
MN,Lakeville,55044,"952,612",44.67,-93.24
MI,Grand Blanc,48439,810,42.92,-83.61
CA,San Jose,95125,"408,831",37.29,-121.88
IN,Greenwood,46143,317,39.61,-86.11
